Number of Records,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,City,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,Months Of Supply,Months Of Supply Mom,Months Of Supply Yoy,New Listings,New Listings Mom,New Listings Yoy,Period Begin,Period Duration,Period End,Price Drops,Price Drops Mom,Price Drops Yoy,Property Type,Region,Region Type,Sold Above List,Sold Above List Mom,Sold Above List Yoy,State,State Code,Table Id
1,0.974315262,-0.003174041,-0.016618823,Portland,15,-0.210526316,0.666666667,19,0.117647059,-0.296296296,81,-15,19,128.7367104,-0.117107858,-0.106175525,292475,-0.040908346,-0.024265342,160.0166251,0.191406383,0.110952428,288400,0.01980198,0.270484581,,,,10,-0.090909091,-0.285714286,11/1/11,90,1/31/12,,,,All Residential,"Portland, OR - University Park",neighborhood,0.066666667,-0.038596491,-0.377777778,Oregon,OR,29142
1,0.987690452,0.012352509,0.023603512,Portland,18,-0.052631579,-0.217391304,12,-0.142857143,-0.294117647,61,28,3.5,166.6666667,0.028932355,0.13377193,759900,0.55398773,0.923797468,145.7778623,-0.16544999,0.038088785,445000,0.05952381,0.076022826,,,,5,-0.444444444,-0.545454545,11/1/11,90,1/31/12,,,,All Residential,"Portland, OR - Laurelhurst",neighborhood,0.222222222,0.064327485,0.09178744,Oregon,OR,29343
1,0.962839025,0.006858415,0.001239884,Portland,21,-0.086956522,-0.3,37,-0.159090909,-0.195652174,116.5,12.5,22.5,144.91353,0.022919035,-0.032927002,349000,0,0.07417667,131.4630014,-0.058122902,-0.197924423,340000,-0.014492754,0.084529506,,,,15,-0.210526316,-0.285714286,11/1/11,90,1/31/12,,,,All Residential,"Portland, OR - Hillsdale",neighborhood,0.285714286,0.111801242,0.219047619,Oregon,OR,29517
1,0.942538728,0.010304097,-0.06008214,Portland,8,-0.111111111,1,,,,35,0,-83,192.3804825,0.249091161,0.434686734,247425,-0.091685022,-0.424459177,143.8782187,0.094466726,-0.056092428,297500,0.025862069,-0.130116959,,,,2,-0.666666667,-0.333333333,11/1/11,90,1/31/12,,,,All Residential,"Portland, OR - Reed",neighborhood,0.125,0.013888889,-0.125,Oregon,OR,29606
1,0.980920036,0.00056842,0.015351064,Portland,19,0,0.357142857,15,-0.210526316,-0.516129032,38,-29,26,162.1069869,-0.026425089,-0.127589933,499450,0.112360802,0.15413056,185.8443709,0.042417971,0.033523892,580000,0.026548673,0.228163049,,,,14,0.076923077,-0.222222222,11/1/11,90,1/31/12,,,,All Residential,"Portland, OR - Irvington",neighborhood,0.157894737,0.052631579,0.086466165,Oregon,OR,29828
1,0.964879823,-0.011789344,-0.02709465,Portland,4,-0.5,-0.333333333,7,0.166666667,-0.363636364,77,11,-107,100.6714414,-0.363837841,-0.358971216,250000,0,-0.264489556,141.4638053,0.015959473,0.001702213,304400,0.040683761,-0.130285714,,,,3,-0.4,0,11/1/11,90,1/31/12,,,,All Residential,"Portland, OR - South Burlingame",neighborhood,0.25,0,0.083333333,Oregon,OR,30142
1,0.964189879,-0.001098423,0.07884645,Portland,13,0.083333333,5.5,7,-0.3,-0.588235294,80.5,-0.5,21.5,183.8675775,0,0.625741427,349900,-0.269519833,0.186322874,170.8185053,0.098260702,0.412943624,340900,-0.136962025,0.541139241,,,,5,-0.285714286,1.5,11/1/11,90,1/31/12,,,,All Residential,"Portland, OR - Sylvan-Highlands",neighborhood,0.076923077,-0.006410256,0.076923077,Oregon,OR,30259
1,0.967695023,-0.022631954,-0.00085297,Portland,14,0,-0.44,32,0.032258065,0.032258065,55,1,-71,140.6540968,-0.127830076,-0.096688134,189900,-0.073432545,-0.156,126.1398176,-0.066066612,-0.113079407,220835,0.002656073,0.162289474,,,,28,0.333333333,2.111111111,11/1/11,90,1/31/12,,,,All Residential,"Portland, OR - Kenton",neighborhood,0,-0.142857143,-0.12,Oregon,OR,30288
1,0.961564966,0.001226302,-0.015675233,Portland,45,0,0.046511628,61,-0.089552239,-0.298850575,66,0,-12,107.2682927,0.043756646,-0.151385886,174900,0.249374955,0.06,109.6083077,0.020396236,-0.112172707,150000,-0.013157895,-0.016393443,,,,37,-0.139534884,-0.026315789,11/1/11,90,1/31/12,,,,All Residential,"Portland, OR - St. Johns",neighborhood,0.177777778,0.022222222,0.01498708,Oregon,OR,30396
1,0.984058924,0.008514172,0.022237325,Portland,14,0.272727273,0.555555556,20,0.111111111,-0.166666667,64,18,14,155.6764975,-0.024092494,-0.131673901,350000,0,0.155115512,150.8811295,-0.083711474,-0.219475434,352000,-0.005649718,-0.130864198,,,,12,0.090909091,0.5,11/1/11,90,1/31/12,,,,All Residential,"Portland, OR - Bridlemile",neighborhood,0.285714286,0.012987013,0.285714286,Oregon,OR,30762
